cycle_id,size,weight,id,harvested_at,status
20671,177.0,136.8,16639.0,2023-03-12,Partial
20671,177.0,136.8,16686.0,2023-03-12,
20671,140.0,61.8,16921.0,2023-03-26,Partial
20671,177.0,136.8,16974.0,2023-03-12,
20671,140.0,61.8,16975.0,2023-03-26,
20671,177.0,136.8,17558.0,2023-03-12,Partial
20671,140.0,61.8,17560.0,2023-03-26,Partial
20671,95.0,534.05,17565.0,2023-04-17,Full
20671,95.0,12.8,17566.0,2023-04-17,Full
18754,130.0,370.0,10302.0,2022-04-16,Partial
18754,128.0,284.0,10303.0,2022-04-18,Full
15836,22.2,3740.0,18859.0,2023-06-20,Full
23531,166.0,816.0,14468.0,2022-11-11,Partial
20246,100.0,272.5,16636.0,2023-03-12,Partial
20246,71.0,251.55,16919.0,2023-03-26,Partial
20246,56.0,235.85,17176.0,2023-04-06,Partial
20246,48.0,892.72,17500.0,2023-04-17,Full
20246,48.0,122.87,17501.0,2023-04-17,Full
21834,210.0,160.0,17877.0,2023-05-10,Partial
21834,110.0,170.0,18104.0,2023-05-21,Full
19855,284.0,0.41,10440.0,2022-04-09,Partial
19855,163.1,1.23,10441.0,2022-04-16,Partial
19855,125.4,1.85,10442.0,2022-04-23,Partial
19855,101.5,486.0,10668.0,2022-05-04,Partial
19855,76.5,2339.65,10679.0,2022-05-14,Full
18223,675.0,0.0,14432.0,2022-10-20,Failed
19615,102.9,683.3,16026.0,2023-01-28,Partial
19615,102.9,13.3,16027.0,2023-01-28,Partial
19615,65.0,846.2,16378.0,2023-02-16,Partial
19615,65.0,4.8,16379.0,2023-02-16,Partial
19615,43.8,2320.8,16618.0,2023-03-09,Full
19615,43.8,30.6,16619.0,2023-03-09,Full
19615,43.8,25.0,16620.0,2023-03-09,Full
19615,43.8,14.0,16628.0,2023-03-11,FINISIHING
19615,43.8,6.0,16651.0,2023-03-11,Full
17632,61.0,378.5,10465.0,2022-04-23,Partial
17632,70.0,10.0,10466.0,2022-04-23,Partial
17632,70.0,43.6,10478.0,2022-04-23,Partial
17632,45.0,327.4,10606.0,2022-05-09,Partial
17632,67.0,73.05,10607.0,2022-05-09,Partial
17632,90.0,19.0,10608.0,2022-05-09,Partial
17632,39.0,340.0,10766.0,2022-05-23,Full
17632,33.0,1.0,10767.0,2022-05-23,Full
17632,39.0,1.0,10768.0,2022-05-23,Full
17632,53.0,7.0,10769.0,2022-05-23,Full
17632,53.0,25.0,10770.0,2022-05-23,Full
17632,53.0,76.0,10771.0,2022-05-23,Full
17632,53.0,76.0,10781.0,2022-05-23,Full
17632,39.0,1.0,10784.0,2022-05-23,Full
20075,32.6,675.9,18501.0,2023-06-06,Full
19957,47.0,2400.0,16336.0,2023-01-06,Full
15819,23.2,5319.0,17608.0,2023-04-25,Full
15869,157.21,361.73,16070.0,2023-01-30,Partial
15869,147.36,688.03,16262.0,2023-02-07,Full
15869,280.0,122.44,16263.0,2023-02-07,Full
18670,68.94,4505.16,9387.0,2022-01-05,Full
15219,86.11,277.32,12344.0,2022-08-05,Full
15219,86.11,45.03,12345.0,2022-08-05,Full
15005,87.0,390.0,11008.0,2022-06-10,Full
15005,87.0,714.0,11009.0,2022-06-10,Full
15005,87.0,300.0,11010.0,2022-06-10,Full
15005,87.0,570.0,11011.0,2022-06-10,Full
15005,87.0,234.65,11012.0,2022-06-10,Full
17860,200.0,105.5,12073.0,2022-07-21,Full
14094,18.0,5026.0,17260.0,2023-03-18,Full
18233,400.0,50.0,17117.0,2023-04-03,Partial
18233,310.0,110.0,17291.0,2023-04-12,Partial
18233,200.0,50.0,17543.0,2023-04-25,Partial
18233,190.0,135.0,17544.0,2023-04-26,Full
15508,49.0,368.0,13355.0,2022-09-22,Partial
15508,73.0,21.0,13356.0,2022-09-22,Partial
