cycle_id,sampled_at,average_weight
18989,2021-12-16,7.99
18989,2021-12-23,10.74
18989,2021-12-30,14.24
20667,2021-05-10,3.0
20667,2021-05-17,4.23
20667,2021-05-24,6.27
20667,2021-05-31,7.29
20667,2021-06-07,9.51
20667,2021-06-11,9.74
20667,2021-06-14,11.83
20667,2021-06-21,13.18
20667,2021-06-27,14.0
20667,2021-07-05,17.88
20667,2021-07-12,19.85
20667,2021-06-28,14.0
20667,2021-07-19,20.47
20667,2021-07-26,23.56
22601,2023-02-08,0.67
22601,2023-02-15,1.18
22601,2023-02-21,2.13
22601,2023-02-22,2.13
22601,2023-02-22,2.13
22601,2023-03-01,3.7
22601,2023-03-08,5.42
22601,2023-03-15,6.7
22601,2023-03-22,7.34
22601,2023-03-29,9.57
22601,2023-04-05,11.06
22601,2023-04-12,14.51
22601,2023-04-19,18.55
22601,2023-04-26,19.95
22601,2023-05-03,23.42
22601,2023-05-10,25.89
22601,2023-05-17,29.69
22601,2023-05-24,32.23
22601,2023-05-31,31.36
22601,2023-06-05,34.07
22601,2023-06-07,34.07
19874,2023-01-03,3.3
19874,2023-01-10,5.0
19874,2023-01-17,6.74
19874,2023-01-24,9.1
19874,2023-02-04,12.05
19874,2023-02-11,15.2
19874,2023-02-23,19.0
12857,2022-08-15,1.95
12857,2022-08-22,3.09
12857,2022-08-29,5.0
12857,2022-09-05,6.77
12857,2022-09-12,8.82
12857,2022-09-18,9.94
12857,2022-09-26,13.45
12857,2022-10-03,15.31
12857,2022-10-10,16.78
12857,2022-10-16,19.74
20664,2021-11-07,2.1
20664,2021-11-17,3.4
20990,2022-06-13,11.0
20990,2022-06-28,17.8
18537,2022-09-02,3.56
18537,2022-09-09,5.8
18537,2022-09-19,9.6
18537,2022-09-26,13.7
18537,2022-10-03,17.0
18537,2022-10-10,21.2
15065,2022-12-14,0.4
15065,2022-12-21,1.38
15065,2022-12-28,3.2
15065,2023-01-04,5.04
15065,2023-01-11,7.1
15065,2023-01-18,10.01
15065,2023-01-25,11.5
15065,2023-02-01,13.4
15065,2023-02-08,16.3
15065,2023-02-15,17.7
15065,2023-02-21,20.4
15065,2023-02-22,20.4
15065,2023-03-01,20.6
15065,2023-03-15,24.8
15065,2023-03-08,22.2
21025,2022-10-13,6.3
19072,2022-07-04,1.03
19072,2022-07-14,3.11
19072,2022-07-24,4.98
19072,2022-08-03,6.79
19072,2022-08-08,6.88
19072,2022-08-13,8.05
19072,2022-08-18,9.06
19072,2022-08-23,9.23
19372,2023-04-12,2.4
19372,2023-04-19,3.37
19372,2023-04-26,5.41
19372,2023-05-03,7.75
19372,2023-05-10,9.57
19372,2023-05-15,10.83
19372,2023-05-24,13.28
19372,2023-05-27,13.18
19372,2023-06-03,13.98
19372,2023-06-10,14.42
19372,2023-06-15,14.5
20980,2021-12-04,2.73
20980,2021-12-18,8.26
20980,2021-12-25,10.48
19433,2022-03-28,2.6
19433,2022-04-06,5.25
19433,2022-04-16,8.13
19433,2022-04-26,11.2
19433,2022-05-03,14.7
20971,2022-10-06,1.73
